tweet_id,customer_text,reply_text,human_score,notes
874853,2/2 will be delivered by tomorrow which is interesting as online says they already have been! Either way - not meeting Prime timescales.,"In some cases, parcels arrive after they are marked as delivered. Please let us know if it doesn't arrive by 21:00 tomorrow. ^FJ",5,directly helpful
674283,"when we purchase a smartphone online, on whose name the imei no. gets registered? Same as the amazon account or the SIM card we first insert?",The IMEi no. is assigned to the device only. It cannot be registered to an Amazon account or the SIM card. ^PS,4,good response
1642157,comment je fais si je reçois pas le bon cable d'ali (pb récurrent) pour mon écran DELL svp (i'm prime),"Si vous ne recevez pas le bon câble ,veuillez le signaler à notre service client afin de vous proposer la solution adéquate. ^BR",4,good response
2337933,I converted to a business account. How do I make personal purchases from the account now? Help pages don't say anything,Call us here: &amp; we'll be glad to assist you. ^MJ,3,somewhat relevant
2485596,I have the accounts. One prime and one non prime. There must be a way to move the books on the non prime account. So I can close the non prime account. Help?,I'm sorry for the inconvenience this has caused you. Please contact us here: so we can look into this further. ^CO,4,good response
1102333,Wrst service I m gtng despite being a prime cstmer.Been contctng u snce mnths bt stll nt gtng ny rply.I m nt able to access my accnt,Sorry to know about the trouble you're facing with your account. Could you let us know if your account is on hold? ^AK,5,directly helpful
99993,my Prime account isn’t global ? ):,Prime is limited to the region you are in. If you purchased on you are limited to the US. If you are traveling abroad you can use video benefits: ^AF,3,somewhat relevant
944842,when is it launching for prime members in India!!!!!???? #cannotwait,"For other details, refer: ^SS (2/2).",3,somewhat relevant
458925,this is not why I pay for Amazon Prime 🙄,Oh no! Did you receive an email regarding the delay? ^BA,4,good response
590038,So this means I have to actually go pick up my items 2-3 days AFTER they’re supposed to be delivered? I pay for prime so they can be delivered to my home. Why are they going to the post office for me to pick up?,I'm very sorry for this issue with your order's delivery. Was this order initially being delivered by USPS? Please check using the following page: ^DO,3,somewhat relevant
878786,amazon has been cheating its customers. My money blocked for 60 days.,"I'm sorry to see you upset, elaborate your concern &amp; we'll help you accordingly. ^MJ",5,directly helpful
675237,I may need some more time to ask to close my account. May be 2 or 3 months.,"I understand how worrisome such a situation can be. However we'd like to have this checked, may I know if you've dropped in your details through the link provided earlier? ^EM",5,directly helpful
111755,"Basta. pago subscripción Prime y nunca he recibido mis pedidos al día siguiente, ni siquiera a los dos días. Una vez vale, pero ya está bien, ¿no? Atentamente, un cliente descontento. #Amazon","Hola, lamento cualquier molestia ocasionada. ¿Actualmente tienes algún pedido pendiente de entrega? ^KS",2,too generic
2408759,Tra le serie che offre Amazon Video quale mi consigliate? Non so quale iniziare. Ce ne sono davvero tante. #Amazonvideo #Amazon #Amazonprime,"Potresti iniziare dalle serie più popolari, come ad esempio American Gods oppure Mozart in the Jungle. Quale genere ti piace? ^GA",3,somewhat relevant
422320,#AppTreasureHunt Fake 👎👎👎 You Should Also Mention it Only for Prime Users 👎👎👎,"All the promotions displayed on our website are 100% genuine. However, I'll be sure to pass on your feedback. ^AK",3,somewhat relevant
1278942,"Thanks, Prime Video is the best. ❤","Thank you for your feedback! Your comments are greatly appreciated, and I thank you for choosing Amazon.in. ^RD",3,somewhat relevant
1135110,my amazon prime video has stopped playing anything in HD on Wi-fi on my iPhone 7+. What do I do?,"Hi, have you been able to run through these trouble-shooting steps: ^TS",3,somewhat relevant
2341570,"Mittwoch 2 Artikel über prime bestellt, sollten Donnerstag ankommen. Beide immer noch nicht versendet?",Sollten sie letzten Donnerstag schon ankommen? Dann bitte hier prüfen lassen: Liebe Grüße ^TA,4,good response
2974992,"I'm getting these notes too often for comfort. This kinda a defeats the purpose of having ""Prime."" #willnotrenew",This is not what we like to hear. Are you receiving emails regarding a delay? ^BA,2,too generic
1770484,"Hey , you may want to get the basics of retail down before the whole drone thing. Bicycle inner tube I waited 2 weeks for came in the wrong size. Signing up for Prime didn't seem to do the trick either. I think my local mom&amp;pop bike shop will be getting some business...",I'm sorry to hear we've let you down like this! Was this item shipped by us or a third-party seller on our site? ^ML,5,directly helpful
